key,count
nmb---nmbr,20
ccl11---ccr3,20
pthlh---pth1r,20
ccl2---ccr2,20
cxcl13---cxcr5,20
cxcl1---cxcr2,20
grp---grpr,20
ccl20---ccr6,20
ccl19---ccr7,20
cxcl1---cxcr1,20
cd70---cd27,20
cxcl2---cxcr2,20
ccl17---ccr4,20
ccl5---ccr5,20
ccl1---ccr8,20
ccl3---ccr5,20
ccl5---ccr3,20
ccl19---ackr4,20
ccl5---ccr1,20
adcyap1---adcyap1r1,20
cxcl10---cxcr3,20
gas6---tyro3,19
cx3cl1---cx3cr1,19
pf4---cxcr3,19
hgf---met,19
npy---npy2r,19
thpo---mpl,19
epo---epor,19
npy---npy1r,19
cxcl9---cxcr3,19
fgf2---fgfr3,19
fgf2---fgfr4,19
ccl21---ccr7,19
cd40lg---cd40,19
fgf2---fgfr2,19
jag1---notch4,19
fgf20---fgfr4,19
efna5---epha2,19
il17b---il17rb,19
ccl25---ackr4,19
guca2a---gucy2c,19
efna3---epha8,19
tac1---tacr1,19
pdgfc---pdgfra,19
nts---ntsr1,19
efna3---epha4,19
efna2---epha2,19
efna2---epha3,19
ccl22---ccr4,19
efna3---epha7,19
fgf1---fgfr1,19
insl3---rxfp2,19
fgf1---fgfr2,19
fgf1---fgfr3,19
fgf1---fgfr4,19
gas6---axl,19
gas6---mertk,19
edn1---ednrb,19
cxcl3---cxcr2,19
calca---calcr,19
dll4---notch1,19
efnb2---ephb2,19
cort---sstr1,19
dll4---notch4,19
insl5---rxfp4,19
anxa1---fpr1,19
ccl7---ccr3,19
csf1---csf1r,19
ccl25---ccr9,19
ccl7---ccr2,19
tnfsf11---tnfrsf11a,19
crh---crhr1,19
crh---crhr2,19
angpt1---tek,19
ccl7---ccr1,19
angpt2---tek,19
efnb3---epha4,19
efna2---epha7,19
efnb3---ephb2,19
sema5a---plxnb3,19
fgf2---fgfr1,19
eda---eda2r,19
efna2---epha4,19
ccl21---ackr4,19
dll1---notch1,19
dll1---notch2,19
csf3---csf3r,19
efna3---epha3,19
dll1---notch3,19
efna3---epha2,19
ccl8---ccr2,19
efnb1---ephb2,19
cxcl11---ackr3,19
ccl5---ackr2,19
ptn---alk,19
ccl28---ccr3,19
ccl28---ccr10,19
sst---sstr1,19
ccl2---ackr2,19
mdk---alk,19
